dataset,variant,threshold,num_splits,proto_cap_max_mean,proto_cap_max_std,rand_cap_mean_mean,rand_cap_mean_std,delta_cap_proxy_mean,delta_cap_proxy_std,max_proto_cos_mean,max_proto_cos_std,max_rand_cos_mean,max_rand_cos_std
bloodmnist,b9,0.5,5,0.7497586117042319,0.13947275520589844,0.0,0.0,0.7497586117042319,0.13947275520589844,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,b9,0.6000000238418579,5,0.5324978147819371,0.14482571073955192,0.0,0.0,0.5324978147819371,0.14482571073955192,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,b9,0.699999988079071,5,0.321780140392579,0.2243021884598379,0.0,0.0,0.321780140392579,0.2243021884598379,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,b9,0.800000011920929,5,0.25645993287604596,0.2264560086748156,0.0,0.0,0.25645993287604596,0.2264560086748156,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,b9,0.8999999761581421,5,0.21387570259572117,0.20787544368164682,0.0,0.0,0.21387570259572117,0.20787544368164682,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,b9,0.949999988079071,5,0.18010752420862286,0.1845503538404485,0.0,0.0,0.18010752420862286,0.1845503538404485,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.5,5,0.7497586117042319,0.13947275520589844,0.0,0.0,0.7497586117042319,0.13947275520589844,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.6000000238418579,5,0.5324978147819371,0.14482571073955192,0.0,0.0,0.5324978147819371,0.14482571073955192,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.699999988079071,5,0.321780140392579,0.2243021884598379,0.0,0.0,0.321780140392579,0.2243021884598379,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.800000011920929,5,0.25645993287604596,0.2264560086748156,0.0,0.0,0.25645993287604596,0.2264560086748156,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.8999999761581421,5,0.21387570259572117,0.20787544368164682,0.0,0.0,0.21387570259572117,0.20787544368164682,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
bloodmnist,standard,0.949999988079071,5,0.18010752420862286,0.1845503538404485,0.0,0.0,0.18010752420862286,0.1845503538404485,0.7433869361877441,0.1002896469842628,0.13320573270320893,0.005843436014490717
dermamnist,b9,0.5,4,0.6157130727228748,0.3511635725947319,0.0,0.0,0.6157130727228748,0.3511635725947319,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,b9,0.6000000238418579,4,0.0768475052455635,0.12393772228865524,0.0,0.0,0.0768475052455635,0.12393772228865524,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,b9,0.699999988079071,4,0.07364237704043529,0.11839453846811164,0.0,0.0,0.07364237704043529,0.11839453846811164,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,b9,0.800000011920929,4,0.06642305914150574,0.10770405660244187,0.0,0.0,0.06642305914150574,0.10770405660244187,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,b9,0.8999999761581421,4,0.06011949215832711,0.09860436617010837,0.0,0.0,0.06011949215832711,0.09860436617010837,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,b9,0.949999988079071,4,0.05357142857142857,0.09278843611976127,0.0,0.0,0.05357142857142857,0.09278843611976127,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.5,4,0.6157130727228748,0.3511635725947319,0.0,0.0,0.6157130727228748,0.3511635725947319,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.6000000238418579,4,0.0768475052455635,0.12393772228865524,0.0,0.0,0.0768475052455635,0.12393772228865524,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.699999988079071,4,0.07364237704043529,0.11839453846811164,0.0,0.0,0.07364237704043529,0.11839453846811164,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.800000011920929,4,0.06642305914150574,0.10770405660244187,0.0,0.0,0.06642305914150574,0.10770405660244187,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.8999999761581421,4,0.06011949215832711,0.09860436617010837,0.0,0.0,0.06011949215832711,0.09860436617010837,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
dermamnist,standard,0.949999988079071,4,0.05357142857142857,0.09278843611976127,0.0,0.0,0.05357142857142857,0.09278843611976127,0.5358044877648354,0.05727892287862087,0.1525794006884098,0.015881241937814233
