dataset,variant,target_recall,num_splits,recall_mean,recall_std,krr_mean,krr_std,far_mean,far_std,tnr_mean,tnr_std,dtacc_mean,dtacc_std,threshold_mean,threshold_std
bloodmnist,b9,0.8,5,0.7999327602896098,0.00011396022584093829,0.20006723971039025,0.00011396022584093829,0.4097184456205674,0.19483543784064197,0.5902815543794326,0.19483543784064197,0.6951071573345212,0.09744831037279056,0.7637921690940856,0.09919770499224026
bloodmnist,b9,0.85,5,0.8498452756048006,0.00011701461930081238,0.15015472439519936,0.00011701461930081238,0.4765704385668079,0.19623990442437345,0.5234295614331921,0.19623990442437345,0.6866374185189964,0.09809726066553452,0.7563016891479493,0.09432531165574305
bloodmnist,b9,0.9,5,0.8998543626244822,0.0001873954924340649,0.10014563737551789,0.0001873954924340649,0.5572620416216086,0.19399738087541218,0.4427379583783914,0.19399738087541218,0.6712961605014368,0.09701225125265125,0.7452269673347474,0.08449279761914043
bloodmnist,b9,0.95,5,0.949766877939673,0.00020630855625440654,0.05023312206032704,0.00020630855625440654,0.6590525039036389,0.18069754380453062,0.34094749609636116,0.18069754380453062,0.645357187018017,0.09031755521854391,0.730409812927246,0.06800845540039481
bloodmnist,b9,0.975,5,0.9747948140968217,5.196321612080816e-05,0.025205185903178308,5.196321612080816e-05,0.7474052373928453,0.14836382212167515,0.25259476260715474,0.14836382212167515,0.6136947883519882,0.07420067275392098,0.7169257402420044,0.050044155754131424
bloodmnist,b9,0.99,5,0.9897904714937055,0.00014704802732644383,0.010209528506294484,0.00014704802732644383,0.8263445698180398,0.09102142932026254,0.17365543018196022,0.09102142932026254,0.5817229508378329,0.045486510659763044,0.707135283946991,0.03790607268363754
bloodmnist,standard,0.8,5,0.7999327602896098,0.00011396022584093829,0.20006723971039025,0.00011396022584093829,0.40890757880890466,0.19557090942561697,0.5910924211910954,0.19557090942561697,0.6955125907403525,0.097816219329055,0.0002825697709340602,0.00026225158194959476
bloodmnist,standard,0.85,5,0.8498452756048006,0.00011701461930081238,0.15015472439519936,0.00011701461930081238,0.4743257939718667,0.19627992842854666,0.5256742060281333,0.19627992842854666,0.687759740816467,0.09811779280895377,0.0002459291339619085,0.00019893932903712096
bloodmnist,standard,0.9,5,0.8998543626244822,0.0001873954924340649,0.10014563737551789,0.0001873954924340649,0.5514919739444477,0.19557516607018674,0.44850802605555234,0.19557516607018674,0.6741811943400172,0.09780017528608258,0.00020840443758061156,0.00013414099058141205
bloodmnist,standard,0.95,5,0.949766877939673,0.00020630855625440654,0.05023312206032704,0.00020630855625440654,0.6522322584796703,0.17988017860994557,0.3477677415203297,0.17988017860994554,0.6487673097300013,0.08990264343762655,0.00017384074017172678,7.473287374039318e-05
bloodmnist,standard,0.975,5,0.9747948140968217,5.196321612080816e-05,0.025205185903178308,5.196321612080816e-05,0.7442438695241895,0.1513685893070627,0.2557561304758105,0.1513685893070627,0.6152754722863161,0.07570459171696389,0.0001549921333207749,4.319449307079211e-05
bloodmnist,standard,0.99,5,0.9897904714937055,0.00014704802732644383,0.010209528506294484,0.00014704802732644383,0.8295245204097137,0.09773242451052258,0.17047547959028628,0.09773242451052258,0.5801329755419959,0.04885035881889769,0.0001453020129702054,2.8926788719974545e-05
dermamnist,b9,0.8,4,0.7999459130648505,0.00018485362334692466,0.20005408693514945,0.00018485362334692466,0.5349348139051365,0.05806123006777367,0.46506518609486347,0.05806123006777369,0.632505549579857,0.028960166835872377,0.6686016321182251,0.0009047995354576833
dermamnist,b9,0.85,4,0.8498018986289753,0.00016637765778099555,0.15019810137102474,0.00016637765778099555,0.6257608789230201,0.053534703203430005,0.3742391210769799,0.053534703203430005,0.6120205098529775,0.02684856376120314,0.6682997494935989,0.0006782584028005391
dermamnist,b9,0.9,4,0.8998237706104492,7.020539359474727e-05,0.10017622938955084,7.020539359474727e-05,0.7239782331910668,0.055858395685377066,0.2760217668089332,0.055858395685377066,0.5879227687096912,0.027959870910766543,0.6680269539356232,0.00045319612049140993
dermamnist,b9,0.95,4,0.9498456425919231,0.00011512606372620828,0.05015435740807697,0.00011512606372620828,0.8386406990390468,0.058107003595173706,0.16135930096095322,0.058107003595173706,0.5556024717764381,0.029005992810354132,0.6677737683057785,0.00031425962479671003
dermamnist,b9,0.975,4,0.9746217175407387,3.4158870097856755e-05,0.025378282459261325,3.4158870097856755e-05,0.9033312685087214,0.058006665295678876,0.09666873149127861,0.058006665295678876,0.5356452245160086,0.02898743804361838,0.6676306277513504,0.00030177385575528784
dermamnist,b9,0.99,4,0.9898402019489985,0.00011481134653217955,0.010159798051001478,0.00011481134653217955,0.9594895896927537,0.027729282680202846,0.040510410307246336,0.027729282680202846,0.5151753061281225,0.013871285851592762,0.6674848943948746,0.0002954026050438118
dermamnist,standard,0.8,4,0.7999459130648505,0.00018485362334692466,0.20005408693514945,0.00018485362334692466,0.5754821243620549,0.08076472761848393,0.4245178756379451,0.08076472761848394,0.6122318943513978,0.04033932357267029,0.00012223838166391943,7.870677475939244e-06
dermamnist,standard,0.85,4,0.8499493042893527,0.0002167322776226492,0.15005069571064739,0.0002167322776226492,0.6543839882999041,0.0730275704774038,0.3456160117000959,0.0730275704774038,0.5977826579947243,0.036473157494188564,0.00012213906484248582,7.813292610903779e-06
dermamnist,standard,0.9,4,0.8998237706104492,7.020539359474727e-05,0.10017622938955084,7.020539359474727e-05,0.7375656454614742,0.08743924836691193,0.2624343545385258,0.08743924836691193,0.5811290625744875,0.043748459874298914,0.00012204164886497892,7.76567782561813e-06
dermamnist,standard,0.95,4,0.9498456425919231,0.00011512606372620828,0.05015435740807697,0.00011512606372620828,0.8545485962015618,0.05641104599371864,0.14545140379843827,0.05641104599371864,0.5476485231951806,0.028169518538608492,0.00012193255861348007,7.733423567399112e-06
dermamnist,standard,0.975,4,0.9746217175407387,3.4158870097856755e-05,0.025378282459261325,3.4158870097856755e-05,0.9079640560586143,0.05400383390886828,0.0920359439413857,0.05400383390886828,0.5333288307410622,0.02698568165547821,0.00012185512605356053,7.726644650374994e-06
dermamnist,standard,0.99,4,0.9898402019489985,0.00011481134653217955,0.010159798051001478,0.00011481134653217955,0.9491114181177542,0.03635156398960851,0.05088858188224579,0.03635156398960851,0.5203643919156222,0.018180284353057213,0.00012179123041278217,7.736155706593517e-06
