dataset,split_idx,variant,threshold_kind,far,accepted_unknown_max_proto_cos,all_unknown_max_proto_cos,accepted_unknown_cap80_frac,all_unknown_cap80_frac,summary_path
dermamnist,0,standard,recall_target,0.8538681948424068,0.520945131778717,0.5211325883865356,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,0,standard,best_dtacc,0.11461318051575932,0.5205256342887878,0.5211325883865356,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,0,b9,recall_target,0.8510028653295129,0.5209181904792786,0.5211325883865356,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,0,b9,best_dtacc,0.10601719197707736,0.5203795433044434,0.5211325883865356,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,1,standard,recall_target,0.7796610169491526,0.5080738663673401,0.5079470872879028,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
dermamnist,1,standard,best_dtacc,0.6101694915254238,0.5086992979049683,0.5079470872879028,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
dermamnist,1,b9,recall_target,0.7457627118644068,0.5081169605255127,0.5079470872879028,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
dermamnist,1,b9,best_dtacc,0.3898305084745763,0.5090498924255371,0.5079470872879028,0.0,0.0,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
dermamnist,2,standard,recall_target,0.9385113268608414,0.4826236069202423,0.4821430742740631,0.013793103448275862,0.012944983818770227,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
dermamnist,2,standard,best_dtacc,0.016181229773462782,0.47355884313583374,0.4821430742740631,0.0,0.012944983818770227,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
dermamnist,2,b9,recall_target,0.9061488673139159,0.4829774498939514,0.4821430742740631,0.014285714285714285,0.012944983818770227,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
dermamnist,2,b9,best_dtacc,0.13915857605177995,0.4746166467666626,0.4821430742740631,0.0,0.012944983818770227,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
dermamnist,3,standard,recall_target,0.8461538461538461,0.6335834860801697,0.6319952011108398,0.25757575757575757,0.25274725274725274,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
dermamnist,3,standard,best_dtacc,0.23626373626373626,0.6551284193992615,0.6319952011108398,0.3023255813953488,0.25274725274725274,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
dermamnist,3,b9,recall_target,0.8516483516483516,0.6350868940353394,0.6319952011108398,0.26021505376344084,0.25274725274725274,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
dermamnist,3,b9,best_dtacc,0.23626373626373626,0.6551284193992615,0.6319952011108398,0.3023255813953488,0.25274725274725274,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
