dataset,num_splits,delta_cap_hat_mean,delta_cap_hat_std,delta_cap_hat_max,argmax_threshold_mean
bloodmnist,5,0.016710257861228046,0.007749169653974162,0.025665258612006414,0.028
dermamnist,4,0.014701739245762957,0.006537715667264309,0.022650197825566848,0.04
