,0,1,2,3,4
TNR,0.0,0.04422821760282636,8.147379346133887,1.318587834963847,0.0
AUROC,35.17114853087785,13.685248122638491,32.71948487981909,55.869071897340774,17.375042942979317
DTACC,50.0,50.0,51.97365164897989,59.54735316607209,50.0
AUIN,56.19560956188453,50.53286089238167,63.310776767789804,68.62779658736488,45.1445878838718
AUOUT,25.50394401277687,19.13764596792017,20.89034218030651,35.40974203270246,24.279622234383133
ACC,39.874608150470216,50.57938605407603,47.21111745669141,38.807206460965006,37.7295118674429
OSCR,6.5178892808293005,18.139993502884142,14.15510606981604,20.998497398788334,8.155172908812707
unknown,"[6, 7, 8]","[3, 4, 5]","[1, 2, 6]","[0, 5, 7]","[1, 3, 8]"
known,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 6, 7, 8]","[0, 3, 4, 5, 7, 8]","[1, 2, 3, 4, 6, 8]","[0, 2, 4, 5, 6, 7]"
