,0,1,2,3,4
TNR,24.214417744916815,67.25925925925927,14.262691377921033,27.07028531663187,36.87430478309233
AUROC,68.37084587549066,93.48927875243663,79.05510501297415,83.9754571014883,80.45120305508208
DTACC,68.47199974079322,86.72528926802224,76.18168242538941,77.3873135396323,75.57664879920661
AUIN,84.23584519390424,95.6313644567966,89.68618926284186,90.03602228893041,79.19171613357501
AUOUT,53.38691471377351,89.26030918249066,59.69696103032901,75.40789357572224,81.86203975839462
ACC,98.16160752458316,98.98599710284887,97.56880733944953,97.47983870967742,99.01417128773876
OSCR,67.93689184201978,93.10740919577229,78.45566981348271,82.77684594361004,80.07783345224402
unknown,"[0, 2, 4, 5]","[4, 3, 0, 5]","[0, 7, 4, 5]","[5, 4, 6, 0]","[1, 3, 5, 2]"
known,"[6, 1, 3, 7]","[1, 6, 7, 2]","[2, 3, 6, 1]","[7, 1, 2, 3]","[0, 7, 4, 6]"
