,0,1,2,3
TNR,14.613180515759316,22.033898305084744,6.148867313915862,15.384615384615385
AUROC,72.7648353473693,54.63474441540244,67.07692190266839,75.01700949267774
DTACC,69.08818155392218,63.211716202743105,67.99990077547781,72.28551092499002
AUIN,93.01246314398219,92.02981474203018,92.74166738180199,86.74753688483342
AUOUT,33.35476702641061,15.582167907687566,21.35920708624193,48.001257568737614
ACC,87.19806763285024,75.56968733439322,82.01650943396227,92.87183002056203
OSCR,65.23607823595366,41.857760053173784,60.84819793002381,72.58961052655363
unknown,"[1, 3, 4]","[3, 6, 0]","[0, 3, 2]","[2, 4, 1]"
known,"[0, 2, 5, 6]","[1, 5, 2, 4]","[5, 1, 6, 4]","[0, 3, 5, 6]"
