,0,1,2,3
TNR,14.613180515759316,25.423728813559322,9.385113268608414,14.652014652014655
AUROC,72.19003917334553,61.973538842930665,72.58922574342066,74.83913162460112
DTACC,68.4914109325471,66.147054332498,68.33688251816572,72.28551092499002
AUIN,92.71301096832654,93.11663475531857,94.03942319790175,86.69920041110218
AUOUT,32.49485818580784,16.667893140942745,25.45313030807663,47.8661697735775
ACC,87.19806763285024,75.56968733439322,82.01650943396227,92.87183002056203
OSCR,64.40987362097368,48.53030997098796,64.90295078463696,72.40451460807863
unknown,"[1, 3, 4]","[3, 6, 0]","[0, 3, 2]","[2, 4, 1]"
known,"[0, 2, 5, 6]","[1, 5, 2, 4]","[5, 1, 6, 4]","[0, 3, 5, 6]"
