,0,1,2,3,4
TNR,22.458410351201476,67.48148148148148,15.068493150684937,31.176061238691723,36.81868743047831
AUROC,68.07425958136525,93.4934635262979,79.19083455928556,84.4546209621299,80.39664801789075
DTACC,68.54304452587682,86.67287229286264,76.03595428368658,77.26909219476059,75.57664879920661
AUIN,84.15874435134904,95.62850867327552,89.70471565425846,90.1892193730195,79.19974146321766
AUOUT,52.2799899953057,89.38999531083913,59.979745514967576,76.91622826061008,81.61716998394233
ACC,98.16160752458316,98.98599710284887,97.56880733944953,97.47983870967742,99.01417128773876
OSCR,67.66999973921276,93.13242842069496,78.61729221033643,83.27554675399021,80.02257591614436
unknown,"[0, 2, 4, 5]","[4, 3, 0, 5]","[0, 7, 4, 5]","[5, 4, 6, 0]","[1, 3, 5, 2]"
known,"[6, 1, 3, 7]","[1, 6, 7, 2]","[2, 3, 6, 1]","[7, 1, 2, 3]","[0, 7, 4, 6]"
