,0,1,2,3,4
TNR,72.18,56.00000000000001,51.7,60.339999999999996,56.42
AUROC,95.397385,91.23357499999999,89.853405,91.53836000000001,92.10262999999999
DTACC,88.90999999999998,83.05499999999999,83.85249999999999,84.8225,85.355
AUIN,95.19403123295277,90.79924350786102,86.99773847481458,89.1948953523762,91.70962358980368
AUOUT,95.64152629733866,91.5101160437884,90.77500130917826,92.26652545872295,92.11593327790294
ACC,93.375,94.325,94.325,96.125,94.5
OSCR,90.22669000000025,86.8756974999999,85.90995000000008,89.00162499999978,87.74295250000003
unknown,"[47, 6, 19, 0, 62, 93, 59, 65, 54, 70, 34, 55, 23, 38, 72, 76, 53, 31, 78, 96, 77, 27, 92, 18, 82, 50, 98, 32, 1, 75, 83, 4, 51, 35, 80, 11, 74, 66, 36, 42, 33, 2, 3, 97, 46, 21, 64, 63, 88, 43]","[92, 82, 77, 64, 5, 33, 62, 56, 70, 0, 20, 28, 67, 14, 84, 53, 91, 29, 85, 2, 52, 83, 75, 35, 11, 21, 72, 98, 55, 1, 41, 76, 25, 66, 69, 9, 48, 54, 40, 23, 95, 60, 30, 73, 46, 49, 68, 99, 8, 71]","[20, 83, 65, 97, 94, 2, 93, 16, 67, 29, 62, 33, 24, 98, 5, 86, 35, 54, 0, 91, 52, 66, 85, 84, 56, 11, 1, 76, 25, 55, 21, 99, 72, 41, 23, 75, 28, 68, 69, 46, 8, 9, 49, 40, 73, 60, 48, 95, 30, 71]","[65, 97, 86, 24, 45, 67, 2, 3, 91, 98, 79, 29, 62, 82, 33, 76, 0, 35, 5, 16, 54, 11, 99, 52, 85, 1, 25, 66, 28, 84, 23, 56, 75, 46, 21, 72, 55, 68, 8, 69, 41, 9, 49, 40, 73, 60, 48, 30, 95, 71]","[27, 94, 29, 77, 88, 26, 69, 48, 75, 5, 59, 93, 39, 57, 45, 40, 78, 20, 98, 47, 66, 70, 91, 76, 41, 83, 99, 32, 53, 72, 2, 95, 21, 73, 84, 68, 35, 11, 55, 60, 30, 25, 1, 9, 8, 0, 46, 52, 49, 71]"
known,"[1, 0, 9, 8]","[6, 4, 9, 1]","[9, 6, 1, 7]","[6, 7, 1, 9]","[4, 7, 9, 1]"
