label,num_prototypes,feat_dim,center_norm_mean,center_norm_std,center_norm_cv,pairwise_distance_mean,pairwise_distance_std,pairwise_distance_cv,offdiag_cosine_mean,offdiag_cosine_std,lambda_mean,lambda_max,lambda_min
BloodMNIST baseline,4,512,100.00000344210623,2.0020540924466754e-06,2.002054023533849e-08,141.5594005029711,1.6674896556878593e-06,1.1779434285276318e-08,-0.0019531245614446688,4.420017356316965e-10,1.0,1.0,1.0
DermaMNIST baseline,4,512,100.00000344210623,2.0020540924466754e-06,2.002054023533849e-08,141.5594005029711,1.6674896556878593e-06,1.1779434285276318e-08,-0.0019531245614446688,4.420017356316965e-10,1.0,1.0,1.0
BloodMNIST feat_dim=32,4,32,99.99999986887539,6.095169598947692e-08,6.095169606939959e-10,143.61406597657003,5.216874399138953e-08,3.6325650719965423e-10,-0.03125000002057509,2.3413032508124735e-11,0.9999999999999998,1.0,0.9999999999999998
PathMNIST d=4,6,4,1.5121714600370133,0.6487149517316722,0.4289956323575857,2.392247775725892,0.8158941147797335,0.3410575288473881,-0.17446410330251336,0.5090338870072583,1.0412263287413492,1.0768331183074589,1.015338257409884
CIFAR-100 extension,4,128,199.99999759703118,1.357848454827108e-06,6.789242355707228e-09,283.9454134523119,6.732226438543876e-07,2.370957979807108e-09,-0.007812496974974871,3.121825866969167e-09,1.0,1.0,1.0
